City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Umarkhed,IN,80.35,overcast clouds,19.6,77.7,MANOJ SUROSHE
5,Hilo,US,80.26,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
8,Faanui,PF,79.05,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
15,Bengkulu,ID,76.37,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
23,Sagua La Grande,CU,81.93,clear sky,22.8067,-80.0756,Hotel Telégrafo
26,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
30,Tiarei,PF,84.22,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
35,Batagay,RU,77.77,few clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
38,Lompoc,US,81.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
42,Fasa,IR,78.04,clear sky,28.9383,53.6482,Fasa University Boys' Dormitory
44,Jamestown,US,78.19,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
49,Atuona,PF,77.68,light rain,-9.8,-139.0333,Villa Enata
55,Victoria,HK,85.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
60,Baillif,GP,80.1,few clouds,16.0202,-61.7463,Hôtel Saint-Georges
61,Fort Dodge,US,80.82,overcast clouds,42.4975,-94.168,"Country Inn & Suites by Radisson, Fort Dodge, IA"
62,Marsa Matruh,EG,79.0,clear sky,31.3525,27.2453,Beau Site
68,Surin,TH,79.18,overcast clouds,14.8818,103.4936,One Fu Hotel
71,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
72,Kavieng,PG,83.86,light rain,-2.5744,150.7967,Nusa Island Retreat
75,Kieta,PG,83.53,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
76,Turayf,SA,75.45,clear sky,31.6725,38.6637,Turaif
79,Rock Sound,BS,83.21,broken clouds,24.9,-76.2,Rock Sound Club
80,Shiraz,IR,76.44,clear sky,29.6036,52.5388,Kowsar Hotel
82,Glenwood Springs,US,88.72,clear sky,39.5505,-107.3248,Glenwood Springs Cedar Lodge
83,Atambua,ID,76.33,clear sky,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
85,Kahului,US,86.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
90,Tabas,IR,85.86,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
95,Nabire,ID,78.51,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
99,Bethel,US,76.08,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
100,Butaritari,KI,83.75,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
103,Bandarbeyla,SO,76.55,broken clouds,9.4942,50.8122,JABIR HOTEL
106,Santa Maria Da Boa Vista,BR,75.36,clear sky,-8.8078,-39.8256,Fênix Hotel e Restaurante
118,Basco,PH,83.93,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
123,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
127,Bubaque,GW,76.87,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
133,Trairi,BR,79.18,clear sky,-3.2778,-39.2689,janelas do mar
135,Batticaloa,LK,78.6,overcast clouds,7.7102,81.6924,Grand Star Guest House
139,Khanpur,PK,89.26,clear sky,28.6453,70.6567,Ahmad bartan store
142,Axim,GH,75.99,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
147,Hamilton,US,86.56,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
153,Tonantins,BR,75.69,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
157,Santa Rosa,PH,85.08,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
160,Kailua,US,85.06,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
161,Puerto Gaitan,CO,80.44,scattered clouds,4.3133,-72.0816,Brisas del Yucao
165,Tura,IN,75.0,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
168,Tamayo,DO,82.11,scattered clouds,18.3947,-71.2029,Hotel del Valle
169,Ucluelet,CA,80.04,few clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
171,Yilan,TW,87.08,broken clouds,24.757,121.753,Dar Chen Hotel
175,Longkou,CN,77.88,light rain,37.6508,120.3286,Pai Hotel Yantai Longkou City Heping Road
179,Isangel,VU,75.31,broken clouds,-19.55,169.2667,Tanna Lodge
188,Valley City,US,88.54,clear sky,46.9233,-98.0032,AmericInn by Wyndham Valley City Conference Center
193,Tocache,PE,77.27,scattered clouds,-8.1842,-76.5125,Hotel Ortiz
198,Bull Savanna,JM,79.03,light rain,17.8868,-77.5902,Big Red's
