City_ID,City,Country,Date,Lat,Lng,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed
0,Umarkhed,IN,2021-08-08 23:59:25,19.6,77.7,overcast clouds,80.35,75,100,2.35
1,Diego De Almagro,CL,2021-08-08 23:59:25,-26.3667,-70.05,few clouds,51.82,44,14,2.55
2,Mataura,NZ,2021-08-08 23:59:26,-46.1927,168.8643,overcast clouds,39.47,97,91,5.5
3,Paamiut,GL,2021-08-08 23:52:30,61.994,-49.6678,overcast clouds,43.36,88,98,0.25
4,Pevek,RU,2021-08-08 23:59:26,69.7008,170.3133,scattered clouds,37.54,81,27,10.87
5,Hilo,US,2021-08-08 23:54:27,19.7297,-155.09,few clouds,80.26,88,22,9.86
6,Saint-Philippe,RE,2021-08-08 23:59:26,-21.3585,55.7679,light rain,68.22,88,41,8.81
7,Mujiayingzi,CN,2021-08-08 23:59:27,42.1167,118.7833,light rain,71.28,65,100,2.89
8,Faanui,PF,2021-08-08 23:50:39,-16.4833,-151.75,light rain,79.05,77,22,12.37
9,Balkanabat,TM,2021-08-08 23:51:00,39.5108,54.3671,clear sky,95.41,14,0,22.06
10,Rikitea,PF,2021-08-08 23:56:56,-23.1203,-134.9692,clear sky,74.43,76,1,11.83
11,Chuy,UY,2021-08-08 23:57:46,-33.6971,-53.4616,moderate rain,57.13,96,98,11.21
12,Busselton,AU,2021-08-08 23:54:33,-33.65,115.3333,overcast clouds,53.1,62,100,20.85
13,Punta Arenas,CL,2021-08-08 23:57:24,-53.15,-70.9167,overcast clouds,41.11,75,90,11.5
14,Concordia,AR,2021-08-08 23:57:47,-31.393,-58.0209,overcast clouds,68.56,69,93,4.05
15,Bengkulu,ID,2021-08-08 23:59:28,-3.8004,102.2655,broken clouds,76.37,87,62,3.98
16,Bredasdorp,ZA,2021-08-08 23:59:28,-34.5322,20.0403,moderate rain,52.92,87,100,12.66
17,Kildinstroy,RU,2021-08-08 23:59:28,68.8049,33.1,clear sky,46.71,100,0,6.71
18,Omboue,GA,2021-08-08 23:50:47,-1.5746,9.2618,broken clouds,72.91,87,51,7.85
19,Sambava,MG,2021-08-08 23:59:29,-14.2667,50.1667,scattered clouds,67.41,85,43,6.15
20,Ouesso,CG,2021-08-08 23:59:29,1.6136,16.0517,few clouds,69.58,94,22,3.18
21,Richards Bay,ZA,2021-08-08 23:59:30,-28.783,32.0377,clear sky,64.15,62,1,10.4
22,Severo-Kurilsk,RU,2021-08-08 23:59:30,50.6789,156.125,broken clouds,56.34,84,62,12.26
23,Sagua La Grande,CU,2021-08-08 23:59:30,22.8067,-80.0756,clear sky,81.93,72,8,9.8
24,Esperance,AU,2021-08-08 23:50:47,-33.8667,121.9,clear sky,58.84,74,1,20.54
